language,sentence
hindi,ब्रांड वॉन वीलेन ने अपने 45 मिनट के टेल
hindi,"ीविजन वृत्तचित्र ""द ट्रुथ अकार्डिंग टु "
hindi,"विकिपीडिया"" का प्रसारण किया।[152] विकिप"
hindi,ीडिया के बारे में एक और वृत्तचित्र शीर्
hindi,"षक "" ट्रुथ इन नंबर्स: द विकिपीडिया स्टो"
hindi,"री"" 2009 प्रदर्शन के लिए निर्धारित है। "
hindi,"कई महाद्वीपों पर शूट की गयी, यह फिल्म व"
hindi,िकिपीडिया के इतिहास और दुनिया भर में व
hindi,िकिपीडिया के संपादकों के साथ किये गए स
hindi,ाक्षात्कारों को कवर करेगी। [153][154]
hindi,"28 सितंबर 2007 को, इतालवी राजनीतिज्ञ फ्"
hindi,रेंको ग्रिल्लिनी ने चित्रमाला की स्वतंत
hindi,्रता की आवश्यकता के बारे में सांस्कृतिक
hindi, संसाधन और गतिविधियों के मंत्री के सम्न
hindi,ाक्ष संसदीय प्रश्न उठाया। उन्होंने कहा 
hindi,कि ऐसी आजादी की कमी विकिपीडिया पर दबाव 
hindi,"बनाती है,"" जो सातवीं ऐसी वेबसाईट है जिस"
hindi," पर लोग विजित करते हैं"" यह आधुनिक इतालव"
hindi,ी इमारतों और कला की सभी छवियों पर रोक ल
hindi,गाती है और दावा किया कि इसने पर्यटन राज
hindi,स्व को बेहद क्षति पहुँचायी है। [155]
hindi,16 सितंबर 2007 को द वाशिंगटन पोस्ट ने स
hindi,ूचना दी कि विकिपीडिया 2008 अमेरिकी चुना
hindi,"व अभियान में एक केंद्र बिन्दु बन गया, इ"
hindi,"सके अनुसार ""जब आप गूगल में उम्मीदवार का"
hindi," नाम टाइप करते हैं, एक विकिपीडिया पृष्ठ"
hindi," ही पहला परिणाम होता है, यह इन प्रविष्"
hindi,टियों को उतना ही महत्वपूर्ण बनता है जि
hindi,तना कि एक उम्मीदवार को परिभाषित करना.
hindi,"पहले से ही, राष्ट्रपति प्रविष्टियों को प्रति"
hindi,"दिन अनगिनत बार संपादित, अवलोकित किया जा रहा"
hindi," है और इस पर विचार-विमर्श किया जा रहा है।"""
hindi,"[156] अक्टूबर 2007 के रायटर्स लेख शीर्षक ""विक"
hindi,"िपीडिया पेज द लेटेस्ट स्टेटस सिम्बल"" में इस घ"
hindi,टना पर रिपोर्ट दी गयी कि कैसे एक विकिपीडिया 
hindi,लेख किसी की विख्याति को साबित करता है।[157]
hindi,विकिपीडिया ने मई 2004 में दो प्रमुख प
hindi,"ुरस्कार जीते। [158] पहला था, वार्षिक "
hindi,प्रिक्स अर्स इलेक्ट्रोनिका प्रतियोगित
hindi,ा में गोल्डन निका फॉर डिजीटल कमयूनिटी
hindi,"स; यह पुरस्कार € 10000 (£ 6588; $ 12,"
hindi,700) अनुदान के साथ आया था और इसके साथ
hindi, ऑस्ट्रिया में पी ए ई सइबरआर्ट्स समार
hindi,ोह में उस वर्ष दस्तावेज़ करने के लिए 
hindi,एक निमंत्रण भी प्राप्त किया गया था। 
hindi,"दूसरा, ""समुदाय"" श्रेणी के लिए में न्य"
hindi,ायाधीशों का वेब्बी अवार्ड था।[159] वि
hindi,"किपीडिया को ""बेस्ट प्रक्टिसस"" वेब्बी "
hindi,के लिए मनोनीत किया गया। 26 जनवरी 200
hindi,"7 को, विकिपीडिया को ब्रांडचैनल.कॉम क"
hindi,े पाठकों द्वारा सर्वोत्तम चौथी ब्रां
hindi,"ड श्रेणी से सम्मानित किया गया था; ""क"
hindi,िस ब्रांड ने 2006 में हमारे जीवन पर 
hindi,"सर्वाधिक प्रभाव डाला"" सवाल के जवाब म"
hindi,ें 15% मतदान प्राप्त किया गया।[160]
hindi,"सितम्बर 2008 में, विकिपीडिया ने बोरिस टा"
hindi,"डिक, एकार्ट होफ्लिंग और पीटर गेब्रियल क"
hindi,े साथ वेर्कस्टाट डॉइशलैंड का क्वाडि्ृगा
hindi, अ मिशन ऑफ़ एनलाइटएनमेंट पुरस्कार प्राप
hindi,्त किया। यह पुरस्कार जिमी वेल्स को डेवि
hindi,ड वेंबेर्गेर द्वारा पेश किया गया।[161]
hindi,जनता द्वारा लिखित इंटरैक्टिव मल्टीमीड
hindi,"िया विश्वकोश की असंख्य प्रविष्टियां,"
hindi, विकिपीडिया की स्थापना से भी लम्बे स
hindi,मय पहले मौजूद थीं। इनमें से पहला था 
hindi,"1986 BBC डोमस्डे प्रोजेक्ट, जिसमें ब"
hindi,्रिटेन के 1 मिलियन से अधिक योगदानकर्
hindi,ताओं के पाठ्य (BBC माइक्रो कंप्यूटर 
hindi,पर प्रविष्ट) और तस्वीरें शामिल थीं औ
hindi,"र यह ब्रिटेन के भूगोल, कला और संस्कृ"
hindi,ति को कवर करता था। यह पहला इंटरैक्टि
hindi,व मल्टीमीडिया विश्वकोश था (और साथ ही
hindi, आंतरिक लिंक्स के माध्यम से जुड़ा पह
hindi,ला मुख्य मल्टीमीडिया दस्तावेज़ भी था
hindi,"), इसमें अधिकांश लेख ब्रिटेन के एक इ"
hindi,ंटरेक्टिव मानचित्र के माध्यम से उपलब
hindi,्ध थे। उपयोगकर्ता इंटरफ़ेस और डोमस्ड
hindi,े प्रोजेक्ट के अवयवों के एक हिस्से क
hindi,ो अब एक वेबसाईट पर डाल दिया गया है।
hindi,[162] सबसे सफल प्रारंभिक ऑनलाइन विश्वक
hindi,ोशों में से एक था h2g2 जिस पर जनता के
hindi," द्वारा प्रविष्टियाँ की जाती थीं, जिस"
hindi,े डगलस एडम्स के द्वारा निर्मित किया ग
hindi,या और इसे BBC के द्वारा चलाया जाता है
hindi,। h2g2 विश्वकोश तुलनात्मक रूप से हल्क
hindi,"ा फुल्का था, यह उन लेखों पर ध्यान केन"
hindi,्द्रित करता था जो हास्यपूर्ण भी हों औ
hindi,र जानकारीपूर्ण भी हों।इन दोनों परियो
hindi,जनाओं में विकिपीडिया के साथ समानता थी
hindi,", लेकिन दोंनों में से किसी ने भी सार्"
hindi,वजनिक उपयोगकर्ताओं को पूर्ण संपादकीय 
hindi,स्वतंत्रता नहीं दी। ऐसी ही एक गैर-विक
hindi,"ी परियोजना GNU पीडिया परियोजना, अपने "
hindi,इतिहास के आरम्भ में न्यूपीडिया के साथ
hindi, उपस्थित थी; हालाँकि इसे सेवानिवृत्त 
hindi,कर दिया गया है और इसके निर्माता मुफ्त
hindi, सॉफ्टवेयर व्यक्ति रिचर्ड स्टालमेन ने
hindi, विकिपीडिया को समर्थन दिया है। [21]
hindi,विकिपीडिया ने कई सम्बन्धी परियोजनाओं क
hindi,"ा सूत्रपात भी किया है, इन्हें भी विकिम"
hindi,ीडिया फाउंडेशन द्वारा संचालित किया जात
hindi,"ा है। पहला, ""इन मेमोरियम: सितंबर 11 वि"
hindi,"की"",[163] अक्टूबर 2002 में निर्मित,[16"
hindi,4] जो 11 सितंबर के हमलों को विस्तृत कि
hindi,या; इस परियोजना को अक्टूबर 2006 में बं
hindi,"द कर दिया गया था। विकटियोनरी, एक शब्द"
hindi,"कोश परियोजना, दिसंबर 2002 में शुरू की"
hindi, गई थी;[165] विकिकोट कोटेशन्स का एक स
hindi,"ंग्रह, जो विकिमीडिया के उदघाटन के एक "
hindi,सप्ताह बाद शुरू हुआ और विकिबुक्स सहयो
hindi,ग से लिखी गयी मुफ्त पुस्तकों का एक सं
hindi,ग्रह.तब से विकिमीडिया ने कई अन्य परि
hindi,"योजनाएं शुरू की हैं, इसमें विकीवर्सिट"
hindi,"ी भी शामिल है, यह मुफ्त अध्ययन सामग्र"
hindi,ी के निर्माण के लिए और ऑनलाइन शिक्षण 
hindi,गतिविधियों का प्रावधान करने की परियोज
hindi,"ना है। [166] हालाँकि, इन में से कोई "
hindi,"भी सम्बंधित परियोजना, विकिपीडिया की स"
hindi,फलता प्राप्ति में सहायक नहीं रही है।
hindi,विकिपीडिया की जानकारी के कुछ उपसमुच्चय
hindi, अक्सर विशिष्ट उद्देश्य के लिए अतिरिक्
hindi,त समीक्षा के साथ विकसित किये गए हैं।
hindi,"उदाहरण के लिए, विकिपीडीयन्स और SOS ब"
hindi,च्चों के द्वारा निर्मित CD /DVD की व
hindi,"िकिपीडिया श्रृंखला (उर्फ ""विकिपीडिया"
hindi," फॉर स्कूल्स""), एक मुफ्त, हाथ से जां"
hindi,"च की गयी, विकिपीडिया से गैर वाणिज्यि"
hindi,"क चुनाव है, जो ब्रिटेन के राष्ट्रीय "
hindi,पाठ्यक्रम में लक्षित है और अधिकांश अ
hindi,ंग्रेजी भाषी दुनिया के लिए उपयोगी है
hindi,। विकिपीडिया फॉर स्कूल्स ऑनलाइन उपल
hindi,ब्ध है: एक समकक्ष प्रिंट विश्वकोश के
hindi, लिए लगभग बीस संस्करणों की आवश्यकता 
hindi,होगी।ये विकिपीडिया के लेख के एक सले
hindi,क्ट सबसेट को एक मुद्रित पुस्तक रूप द
hindi,ेने का प्रयास भी किया गया है।[167]
hindi,सहयोगी ज्ञान आधार विकास पर केन्द्रित अ
hindi,न्य वेबसाईटों ने या तो विकिपीडिया से प
hindi,्रेरणा प्राप्त की है या उसे प्रेरित कि
hindi,"या है।कुछ, जैसे सुस्निंग.नु (Susning."
hindi,"nu), एनसिक्लोपेडिया लीब्रे (Encicloped"
hindi,ia Libre) और विकिज़नानी (WikiZnanie) क
hindi,िसी औपचारिक समीक्षा प्रक्रिया का इस्ते
hindi,"माल नहीं करते है, जबकि अन्य जैसे एनसाइ"
hindi,क्लोपीडिया ऑफ़ लाइफ (Encyclopedia of L
hindi,"ife), स्टैनफोर्ड एनसाइक्लोपीडिया ऑफ़ फ"
hindi,िलोसोफी (Stanford Encyclopedia of Phi
hindi,"losophy), स्कोलरपीडिया (Scholarpedia)"
hindi,", h2g2, एव्रीथिंग2 (Everything2), अधि"
hindi,क पारंपरिक सहकर्मी समीक्षा का उपयोग क
hindi,"रते है। एक ऑनलाइन विश्वकोश, सिटिज़नडि"
hindi,यम को विकिपीडिया के सह-संस्थापक लैरी 
hindi,"सेंगर के द्वारा विकिपीडिया के ""विशेषज"
hindi,"्ञ अनुकूल"" का निर्माण करने के प्रयास "
hindi,में शुरू किया गया था।[168][169][170]
hindi,विकिमीडिया संस्थान एक अमेरिकी गैर-लाभका
hindi,"री संस्थान है, जिसका मुख्यालय सैन फ्रां"
hindi,"सिस्को, कैलिफोर्निया में स्थित है। इसक"
hindi,ी स्थापना जिमी वेल्स ने 20 जून 2003 को
hindi, की थी। यह दान में प्राप्त पैसों से सं
hindi,चालित होता है। इस संस्थान की सबसे अधिक
hindi, प्रसिद्ध परियोजना विकिपीडिया है। इसके
hindi, अलावा भी कई अन्य परियोजनाओं को शुरू क
hindi,"िया गया था। जिसमें विक्षनरी (शब्दकोश),"
hindi," विकिस्रोत, विकिसमाचार, विकिसूक्ति, वि"
hindi,"किपुस्तक, विकियात्रा आदि हैं। इसके अला"
hindi,"वा कई ऐसे प्रकल्प भी है, जिसमें सभी भा"
hindi,षाओं के सदस्य योगदान देते हैं। इसमें म
hindi,"ेटा विकि, इनक्यूबेटर, कॉमन्स आदि हैं।"
hindi,विकिमीडिया संस्थान का उद्देश्य मुफ्त 
hindi,लाइसेंस या सार्वजनिक कार्यक्रम (publi
hindi,"c domain) के अन्तर्गत, शैक्षणिक सामग्"
hindi,री एकत्रित करके विश्व के लोगों को सशक
hindi,"अध्यायों के अन्तरजाल की सहायता से, संस्था"
hindi,"विकिमीडिया फ्लोरिडा, अमेरिका के कानून के"
hindi,विकिमीडिया संस्थान प्रसिद्ध कार्यकारी 
hindi,"साथ ही साथ, संस्थान विकिपीडिया के अतिरि"
hindi,"कुल मिलाकर, इन कार्यक्रम में ७८ लाख स"
hindi,सेबुआनो (w)  · स्वीडिश (w)  ·  जर्मन (w) 
hindi,नॉर्वेजियाई (बोक्माल) (w)  · सर्बो-
hindi,उर्दू (w)  · मिन नान (w)  · ऑकिटन (w
hindi,जावानी (w)  · किर्घिज़  · अस्तूरिया
hindi,ऊपरी सोर्बियाई (w)  · टारण्टीनो (w)
italian,Wikipedia (pronuncia: vedi sotto) è un'enciclopedia
italian,"online a contenuto libero, collaborativa, multilingue"
italian,"e gratuita, nata nel 2001, sostenuta"
italian,"e ospitata dalla Wikimedia Foundation, un'organizzazione"
italian,non a scopo di lucro statunitense.
italian,Lanciata da Jimmy Wales e Larry Sanger
italian,"il 15 gennaio 2001, inizialmente nell'edizione in"
italian,"lingua inglese, nei mesi successivi ha"
italian,aggiunto edizioni in numerose altre lingue.
italian,"Sanger ne suggerì il nome,[1] una"
italian,parola macedonia nata dall'unione della radice
italian,wiki al suffisso pedia (da enciclopedia).
italian,"Etimologicamente, Wikipedia significa ""cultura veloce"", dal termine"
italian,"hawaiano wiki (veloce), con l'aggiunta del"
italian,"suffisso -pedia (dal greco antico παιδεία,"
italian,"paideia, formazione). Con più di 45"
italian,milioni di voci in oltre 280
italian,"lingue,[2] è l'enciclopedia più grande mai"
italian,"scritta,[3] è tra i dieci siti"
italian,web più visitati al mondo[4] e
italian,costituisce la maggiore e più consultata
italian,opera di riferimento generalista su Internet.[5][6][7]
italian,Wikipedia prese il via come progetto complementare
italian,"di Nupedia, un progetto per la creazione"
italian,di un'enciclopedia libera online le cui
italian,voci erano scritte da esperti volontari
italian,attraverso un processo formale di revisione.
italian,Nupedia venne fondata il 9 marzo
italian,"2000 dalla società Bomis, proprietaria dell'omonimo"
italian,portale di ricerca. Le figure principali
italian,"erano Jimmy Wales, allora CEO della"
italian,"Bomis, e Larry Sanger, redattore capo"
italian,di Nupedia e successivamente di Wikipedia.[8]
italian,"Per il concetto di wiki, Wales e Sanger"
italian,dichiararono di essersi ispirati ai siti WikiWikiWeb
italian,o Portland Pattern Repository di Ward Cunningham.
italian,"Wikipedia, che esisteva già come servizio di"
italian,"Nupedia.com dal 10 gennaio 2001, fu formalmente"
italian,lanciata il 15 gennaio successivo sul sito
italian,"Wikipedia.com, in lingua inglese. Verso maggio giunsero"
italian,"i primi utenti registrati e, nel corso"
italian,"dell'anno, si svilupparono le edizioni in"
italian,"francese, tedesco, inglese, catalano, spagnolo, svedese,"
italian,"portoghese e, a fine anno, italiano."
italian,Alla fine del suo primo anno di
italian,"esistenza, l'enciclopedia arrivò a contare quasi 20"
italian,"000 voci, su 18 edizioni in lingue"
italian,differenti. Raggiunse 26 edizioni in lingua
italian,"alla fine del 2002, 46 alla"
italian,fine del 2003 e 161 alla
italian,fine del 2004. Nupedia e Wikipedia
italian,coesistettero finché i server della prima
italian,furono chiusi definitivamente nel 2003 e
italian,i suoi testi incorporati in Wikipedia
italian,(Nupedia aveva sofferto un tasso di
italian,"crescita estremamente lento, a causa dei"
italian,"complicati processi di revisione, riuscendo a"
italian,pubblicare solo 24 voci); Sanger uscì
italian,di scena e un gruppo di
italian,utenti attuò una biforcazione della Wikipedia
italian,in spagnolo per costituire l'Enciclopedia Libre.
italian,"Da Wikipedia e Nupedia, nacque nel 2003"
italian,"la Wikimedia Foundation, l'organizzazione non profit che"
italian,sostiene Wikipedia e i progetti fratelli (il
italian,primo dei quali fu In Memoriam: September
italian,11 Wiki) che nel tempo si
italian,"sono aggiunti, ognuno dei quali è"
italian,specializzato in un determinato ambito del
italian,sapere. La Wikimedia Foundation ha infatti
italian,successivamente dato vita a progetti complementari
italian,"tra i quali: Wiktionary, Wikibooks, Wikisource,"
italian,"Wikispecies, Wikiquote, Wikinotizie, Wikiversità e Wikivoyage."
italian,Wales cedette tutti i diritti alla
italian,"fondazione da lui promossa, che tuttora"
italian,"gestisce i marchi e l'infrastruttura informatica,"
italian,garantendo che la gestione dei contenuti
italian,rimanesse affidata alla comunità degli utenti.
italian,Se nei primi due anni cresceva alla
italian,velocità di poche centinaia o meno di
italian,"nuove voci al giorno, l'edizione in inglese"
italian,di Wikipedia raggiunse il traguardo delle
italian,"100 000 voci nel gennaio 2003,"
italian,"mentre nel 2004 subì un'esplosione, raddoppiando"
italian,le dimensioni in un anno (con
italian,un aumento da 1 000 a
italian,3 000 voci al giorno). Wikipedia
italian,"ha raggiunto la sua milionesima voce,"
italian,tra le 105 edizioni in lingua
italian,"all'epoca presenti, il 20 settembre 2004."
italian,A partire dal 2004 è iniziata
italian,a costituirsi una rete di associazioni
italian,nazionali collegate alla Wikimedia Foundation (chiamati
italian,"""capitoli ufficiali""), tra le quali Wikimedia"
italian,"Italia, fondata nel 2005. Nel settembre"
italian,dello stesso anno l'edizione in italiano
italian,ha superato le 100 000 voci.
italian,Da quando Wikipedia ha raggiunto un considerevole
italian,"numero di voci e di utilizzatori, è"
italian,"diventata un tipico fenomeno del Web 2.0,"
italian,grazie anche alla sua particolarità di essere
italian,rapidamente modificabile e aggiornabile da chiunque. Nel
italian,"settembre 2007, l'edizione in inglese ha"
italian,tagliato lo storico traguardo di 2
italian,"milioni di voci, divenendo la più"
italian,"vasta enciclopedia mai scritta, superando l'enciclopedia"
italian,"Yongle (1407), che ha detenuto tale"
italian,primato per 600 anni esatti;[3] nel
italian,Guinness dei primati del 2008 Wikipedia
italian,è riportata come la più grande
italian,enciclopedia al mondo. Il 27 marzo
italian,"2008, con oltre 250 edizioni locali,"
italian,ha raggiunto i 10 milioni di
italian,"voci,[9] che erano raddoppiate il 18"
italian,novembre 2011[10] e triplicate nel giro
italian,"dei tre anni successivi, superando nel"
italian,2015 i 35 milioni di voci.
italian,A settembre 2015 le edizioni di Wikipedia
italian,con più di 100 000 voci erano
italian,"divenute 53, scritte in altrettante lingue,"
italian,di cui 12 superavano il milione.[2]
italian,L'obiettivo di Wikipedia è creare un'enciclopedia
italian,"libera, ovvero liberamente accessibile, a contenuto"
italian,"libero, aperto, e ""universale"" in termini"
italian,di ampiezza di argomenti trattati. Wikipedia
italian,"è stata descritta da Jimmy Wales,"
italian,"uno dei suoi fondatori, come ""uno"
italian,sforzo per creare e distribuire un'enciclopedia
italian,libera della più alta qualità possibile
italian,a ogni singola persona sul pianeta
italian,"nella sua propria lingua"". Wikipedia, nelle"
italian,"intenzioni di Wales, doveva raggiungere nel"
italian,lungo termine una qualità pari o
italian,migliore dell'Enciclopedia Britannica ed essere pubblicata
italian,"anche su carta. Il progetto, ambizioso,"
italian,"ma realistico, si colloca dunque nell'ambito"
italian,della condivisione della conoscenza e della
italian,cultura partecipativa sfruttando la cosiddetta intelligenza
italian,collettiva sulla base delle regole d'uso
italian,e di contribuzione espresse dall'enciclopedia stessa.
italian,In quanto enciclopedia a carattere universale (o
italian,"""generalista""), Wikipedia tratta voci di geografia, storia,"
italian,"filosofia, scienze, tecnologia, scienze sociali, letteratura, arte,"
italian,"spettacolo, sport, biografie, aziende e altro ancora."
italian,Le voci sono organizzate in categorie tematiche;
italian,i temi generali sono generalmente illustrati
italian,da portali e coordinati tramite progetti.
italian,L'enciclopedia è completamente gratuita e priva
italian,"di pubblicità, in linea con i"
italian,suoi principi base: il suo sostentamento
italian,è dovuto unicamente alle libere donazioni
italian,"degli utenti, grazie a una raccolta"
italian,fondi[11] avviata ogni anno dalla Wikimedia
italian,Foundation. Il logo ufficiale di Wikipedia
italian,è una sfera quasi completa costruita
italian,con pezzi di puzzle che riportano
italian,"caratteri di vari alfabeti, a simboleggiare"
italian,il mondo e una conoscenza globale
italian,"in costruzione, a disposizione di tutti."
italian,Su Internet esistono o sono esistiti molti
italian,altri progetti enciclopedici. In generale dispongono di
italian,una linea editoriale stabilita e fanno
italian,uso delle tradizionali politiche sulla proprietà
italian,"intellettuale dei contenuti, come per esempio"
italian,"l'Enciclopedia Stanford di Filosofia, compilata da"
italian,"esperti. Siti web più informali, come"
italian,"H2g2 o Everything2, servono come guide"
italian,generali le cui voci sono scritte
italian,e controllate da persone comuni. Progetti
italian,"come Wikipedia, Susning.nu e la Enciclopedia"
italian,Libre sono invece wiki le cui
italian,voci sono sviluppate da numerosi autori
italian,e in cui non esiste alcun
italian,processo formale di revisione. Wikipedia è
italian,il primo e più grande di
italian,questi wiki enciclopedici per numero di
italian,voci. A differenza delle enciclopedie che
italian,"l'hanno preceduta, il contenuto di Wikipedia"
italian,è distribuito con una licenza libera.
italian,Wikipedia è pubblicata in 309 lingue differenti
italian,(di cui circa 299 attive[2]) e contiene
italian,voci sia sugli argomenti propri di una
italian,"tradizionale enciclopedia sia su quelli di almanacchi,"
italian,dizionari geografici e specialistici. Il suo
italian,"scopo è quello di raccogliere dati,"
italian,"informazioni e descrizioni, creando e distribuendo"
italian,"al pubblico un'enciclopedia libera, gratuita e"
italian,sempre più ricca di contenuti. Le
italian,varie edizioni in lingua sono sviluppate
italian,"indipendentemente l'una dall'altra, ovvero non sono"
italian,"vincolate ai contenuti presenti nelle altre,"
italian,ma sono tenute unicamente al rispetto
italian,delle linee guida generali del progetto
italian,come il punto di vista neutrale.
italian,I testi delle voci e i contenuti
italian,multimediali tuttavia sono spesso condivisi tra le
italian,"varie edizioni: i primi grazie alle traduzioni,"
italian,i secondi attraverso il progetto condiviso
italian,chiamato Wikimedia Commons. Le voci tradotte
italian,rappresentano una percentuale relativamente piccola di
italian,quelle presenti in ciascuna edizione. Le
italian,"edizioni in lingua tedesca, quella in"
italian,lingua italiana e una selezione di
italian,voci tratte dalla versione in lingua
italian,inglese sono state distribuite anche su
italian,"compact disc e DVD, mentre di"
italian,molte edizioni sono stati creati dei
italian,mirror online o dei progetti derivati.
italian,Ad agosto 2015 Wikipedia conteneva in totale
italian,più di 35 milioni di voci -
italian,"in totale oltre 135 milioni di pagine,"
italian,modificate oltre 2 miliardi di volte
italian,- e contava oltre 55 milioni
italian,di utenti registrati.[2] Wikipedia è uno
italian,dei dieci siti più visitati al
italian,"mondo, oscillando nel 2015 tra il"
italian,sesto e il settimo posto nella
italian,classifica mondiale:[12] riceve infatti oltre 374
italian,milioni di visitatori unici al mese
italian,(a settembre 2015).[13] Le voci di
italian,Wikipedia sono spesso citate dai mass
italian,media tradizionali e da istituti accademici.
italian,"«""L'enciclopedia partecipata"" mi preoccupa meno: la"
italian,"uso regolarmente, e trovo che la"
italian,qualità e l'affidabilità delle informazioni sia
italian,notevole. Qualche problema c'è solo quando
italian,il soggetto è estremamente controverso. In
italian,questo caso la neutralità e le
italian,reciproche obiezioni spingono verso il minimo
italian,"comun denominatore, e bisogna accontentarsi. Ma"
italian,"questo è inevitabile, e in fondo"
italian,accadeva già con le enciclopedie tradizionali.»
italian,La caratteristica primaria di Wikipedia è il
italian,fatto che dà la possibilità a chiunque
italian,"di collaborare, utilizzando un sistema di modifica"
italian,e pubblicazione aperto che si appoggia su
italian,una piattaforma Wiki (MediaWiki). In altri termini
italian,essa è curata da volontari ovvero
italian,le pagine possono essere modificate da
italian,chiunque e non c'è un comitato
italian,di redazione né alcun controllo preventivo
italian,sul contenuto inviato. In particolare essa
italian,si basa sul diritto di citazione
italian,come testimonianza di attendibilità dei contenuti
italian,presenti che citino dunque la fonte
italian,"di origine, classificandosi dunque come fonte"
italian,"terziaria. La registrazione non è obbligatoria,"
italian,ma consigliata. A causa della sua
italian,"natura aperta, vandalismi e imprecisioni sono"
italian,problemi riscontrabili in Wikipedia. Il miglioramento
italian,dell'enciclopedia è dovuto unicamente al continuo
italian,apporto di contributi sia in termini
italian,di nuovi contenuti che di revisioni
italian,"degli stessi, della forma e della"
italian,formattazione secondo le linee guida da
italian,parte di tutti gli utenti volontari.
italian,"Per garantire tale progresso, Wikipedia si"
italian,"fonda su cinque pilastri, sulle seguenti"
italian,"linee guida, volte ad identificare quali"
italian,tipi di informazioni siano adatte a
italian,esservi inserite e su un codice
italian,di comportamento detto Wikiquette. Ad esse
italian,si fa spesso riferimento nelle dispute
italian,per decidere se un particolare contenuto
italian,"debba essere aggiunto, rivisto, trasferito ad"
italian,un progetto affine oppure rimosso. Uno
italian,dei principi alla base di Wikipedia
italian,"è il ""punto di vista neutrale"",[15]"
italian,secondo il quale ad esempio le
italian,opinioni presentate da personaggi importanti o
italian,da opere letterarie vengono riassunte senza
italian,tentare di determinarne una verità oggettiva.
italian,Caratteristica delle voci di Wikipedia è inoltre
italian,l'avere frequenti collegamenti ipertestuali ad altre voci
italian,dell'enciclopedia attraverso i cosiddetti wikilink che permettono
italian,una facile navigazione nel Portale e
italian,un più facile approfondimento di altre
italian,voci con uno stile dunque che
italian,ricorda il Web 1.0 o Web
italian,statico mentre di fatto la piattaforma
italian,Mediawiki appartiene al Web 2.0 o
italian,Web dinamico. Tutte le voci sono
italian,comunemente rintracciabili tramite ricerca web con
italian,"Google, che solitamente indicizza tra le"
italian,"prime posizioni, ma l'enciclopedia può essere"
italian,vista come un vero e proprio
italian,portale web il cui accesso è
italian,dalla Pagina Principale che fornisce in
italian,"primo piano una voce del giorno,"
italian,"una voce di qualità, ricorrenze del"
italian,"giorno, un motore di ricerca interno"
italian,ecc. Le foto delle varie voci
italian,provengono dal progetto Wikimedia Commons sui
italian,cui vengono caricate e poi richiamate
italian,nelle voci di Wikipedia. È possibile
italian,inoltre lasciare un proprio commento sull'enciclopedia
italian,nella pagina dei Pareri. Le edizioni
italian,di Wikipedia contengono spesso anche uno
italian,sportello informazioni in cui la comunità
italian,risponde alle domande tecniche degli utenti.
italian,"Originariamente pubblicata sotto la licenza libera GFDL,"
italian,dal 15 giugno 2009 è migrata alla
italian,"licenza Creative Commons BY-SA 3.0, più compatibile"
italian,con gli scopi e gli usi di
italian,Wikipedia e in generale dei progetti
italian,Wikimedia (le licenze Creative Commons non
italian,esistevano nel 2001 alla nascita del
italian,progetto). Il cambiamento di licenza è
italian,stato sottoposto a votazione della comunità.[16][17]
italian,La licenza sotto la quale le voci
italian,di Wikipedia sono rese disponibili è
italian,una delle molte licenze di copyright
italian,di tipo permissivo (ma dal copyleft
italian,"di tipo ""forte""), in quanto permette"
italian,"la redistribuzione, la creazione di opere"
italian,derivate e l'uso commerciale del contenuto
italian,a condizione che si mantenga l'attribuzione
italian,agli autori e che il contenuto
italian,rimanga disponibile sotto la stessa licenza.
italian,Quando un utente contribuisce al progetto
italian,"con materiale originale, i diritti d'autore"
italian,rimangono in suo possesso ma egli
italian,acconsente a concedere la propria opera
italian,sotto la licenza libera. Il materiale
italian,di Wikipedia può quindi essere distribuito
italian,"a, o incorporato da, fonti che"
italian,a loro volta usino questa licenza.
italian,Del contenuto di Wikipedia sono stati
italian,creati numerosi mirror o progetti derivati
italian,a partire da copie dei database.
italian,Sebbene tutti i testi siano disponibili sotto
italian,"la stessa licenza, una percentuale significativa"
italian,di immagini e suoni in Wikipedia
italian,non sono liberi: elementi come loghi
italian,"aziendali, saggi, testi di canzoni o"
italian,foto giornalistiche protette da copyright sono
italian,usate con una rivendicazione di fair
italian,"use (tuttavia, in alcuni Paesi il"
italian,concetto di fair use non è
italian,"presente nel corpo legislativo, e quindi"
italian,opere che contenessero questi elementi potrebbero
italian,essere inammissibili). Wikipedia ha ricevuto anche
italian,del materiale a condizione che non
italian,si possano produrre lavori derivati o
italian,che possa essere usato solo all'interno
italian,di Wikipedia. Alcune edizioni comunque accettano
italian,solo contenuti multimediali liberi da copyright.
italian,Wikipedia condivide le risorse software e hardware
italian,"con gli altri progetti della Wikimedia Foundation,"
italian,in particolare il motore che interpreta il
italian,markup delle pagine (MediaWiki) e i
italian,server su cui sono salvati i
italian,database che contengono le pagine dell'enciclopedia.
italian,La versione in lingua italiana di Wikipedia
italian,è soprannominata it.wiki ed è nata a
italian,"maggio del 2001, sotto il nome"
italian,a dominio di terzo livello it.wikipedia.org.
italian,Nel 2003 nascono le Wikipedia in latino
italian,e in occitano. Ad aprile 2004 nasce
italian,"la Wikipedia in sardo, poi a ottobre"
italian,"la Wikipedia in siciliano, a gennaio 2005"
italian,"la Wikipedia in friulano e a seguire,"
italian,"nel corso del 2005, le versioni"
italian,"linguistiche in corso, napoletano, romancio, veneto"
italian,e lombardo. Nel 2006 sono nate
